Sample_ID	Station	Depth	Latcent	Loncent	Date	Time	Day_Night	Volume_filtered_(mL)
18BIO003	PV_37	5	43.88	-6.33	09/05/2018	12:30h	Day	5000
18BIO004	PV_37	50	43.88	-6.33	09/05/2018	12:30h	Day	5000
18BIO005	PV_37	200	43.88	-6.33	09/05/2018	12:30h	Day	5000
18BIO006	PV_37	500	43.88	-6.33	09/05/2018	12:30h	Day	5000
18BIO007	PV_37	1000	43.88	-6.33	09/05/2018	12:30h	Day	5000
18BIO008	PV_37	1580	43.88	-6.33	09/05/2018	12:30h	Day	5000
18BIO009	PV_54	4.4	43.77	-4.60	10/05/2018	05:52h	Night	4200
18BIO010	PV_54	5	43.77	-4.60	10/05/2018	05:52h	Night	4500
18BIO011	PV_54	50	43.77	-4.60	10/05/2018	05:52h	Night	5000
18BIO012	PV_54	200	43.77	-4.60	10/05/2018	05:52h	Night	5000
18BIO013	PV_54	500	43.77	-4.60	10/05/2018	05:52h	Night	5000
18BIO014	PV_54	1000	43.77	-4.60	10/05/2018	05:52h	Night	5000
18BIO015	PV_54	1590	43.77	-4.60	10/05/2018	05:52h	Night	5000
18BIO023	PV_111	4.4	43.60	-2.72	11/05/2018	21:07h	Night	5000
18BIO024	PV_111	5	43.60	-2.72	11/05/2018	21:07h	Night	5000
18BIO025	PV_111	50	43.60	-2.72	11/05/2018	21:07h	Night	5000
18BIO026	PV_111	200	43.60	-2.72	11/05/2018	21:07h	Night	5000
18BIO027	PV_111	500	43.60	-2.72	11/05/2018	21:07h	Night	5000
18BIO028	PV_111	1000	43.60	-2.72	11/05/2018	21:07h	Night	5000
18BIO029	PV_111	1150	43.60	-2.72	11/05/2018	21:07h	Night	5000
18BIO032	PV_136	4.4	43.67	-2.17	12/05/2018	11:50h	Day	5000
18BIO034	PV_136	50	43.67	-2.17	12/05/2018	11:50h	Day	5000
18BIO035	PV_136	200	43.67	-2.17	12/05/2018	11:50h	Day	5000
18BIO036	PV_136	500	43.67	-2.17	12/05/2018	11:50h	Day	5000
18BIO037	PV_136	1000	43.67	-2.17	12/05/2018	11:50h	Day	5000
18BIO038	PV_136	1170	43.67	-2.17	12/05/2018	11:50h	Day	5000
18BIO056	PV_236	5	44.63	-2.35	14/05/2018	00:10h	Night	3860
18BIO057	PV_236	50	44.63	-2.35	14/05/2018	00:10h	Night	5000
18BIO058	PV_236	200	44.63	-2.35	14/05/2018	00:10h	Night	5000
18BIO059	PV_236	500	44.63	-2.35	14/05/2018	00:10h	Night	5000
18BIO060	PV_236	1000	44.63	-2.35	14/05/2018	00:10h	Night	5000
18BIO061	PV_236	1290	44.63	-2.35	14/05/2018	00:10h	Night	5000
18BIO075	PV_402	4.4	45.63	-3.71	19/05/2018	13:03h	Day	2050
18BIO076	PV_402	5	45.63	-3.71	19/05/2018	13:03h	Day	5000
18BIO077	PV_402	50	45.63	-3.71	19/05/2018	13:03h	Day	4270
18BIO078	PV_402	200	45.63	-3.71	19/05/2018	13:03h	Day	5000
18BIO079	PV_402	500	45.63	-3.71	19/05/2018	13:03h	Day	5000
18BIO080	PV_402	1000	45.63	-3.71	19/05/2018	13:03h	Day	5000
18BIO081	PV_402	2080	45.63	-3.71	19/05/2018	13:03h	Day	5000
18BIO088	PV_555	4.4	46.62	-5.13	22/05/2018	19:43h	Day	4600
18BIO089	PV_555	5	46.62	-5.13	22/05/2018	19:43h	Day	5000
18BIO090	PV_555	50	46.62	-5.13	22/05/2018	19:43h	Day	5000
18BIO091	PV_555	200	46.62	-5.13	22/05/2018	19:43h	Day	5000
18BIO092	PV_555	500	46.62	-5.13	22/05/2018	19:43h	Day	5000
18BIO093	PV_555	1000	46.62	-5.13	22/05/2018	19:43h	Day	5000
18BIO094	PV_555	1830	46.62	-5.13	22/05/2018	19:43h	Day	5000
18BIO098	PV_629	4.4	47.35	-6.43	24/05/2018	16:35h	Day	2110
18BIO099	PV_629	5	47.35	-6.43	24/05/2018	16:35h	Day	3000
18BIO100	PV_629	50	47.35	-6.43	24/05/2018	16:35h	Day	5000
18BIO101	PV_629	200	47.35	-6.43	24/05/2018	16:35h	Day	5000
18BIO102	PV_629	500	47.35	-6.43	24/05/2018	16:35h	Day	5000
18BIO103	PV_629	1000	47.35	-6.43	24/05/2018	16:35h	Day	5000
18BIO104	PV_629	1340	47.35	-6.43	24/05/2018	16:35h	Day	5000
