Phylotype_Species	18BIO003	18BIO004	18BIO005	18BIO006	18BIO007	18BIO008	18BIO010	18BIO011	18BIO012	18BIO013	18BIO014	18BIO015	18BIO024	18BIO025	18BIO026	18BIO027	18BIO028	18BIO029	18BIO032	18BIO034	18BIO035	18BIO036	18BIO037	18BIO038	18BIO056	18BIO057	18BIO058	18BIO059	18BIO060	18BIO061	18BIO076	18BIO077	18BIO078	18BIO079	18BIO081	18BIO089	18BIO090	18BIO091	18BIO092	18BIO093	18BIO094	18BIO099	18BIO100	18BIO101	18BIO102	18BIO103	18BIO104
Alepocephalus agassizii	0	0	0	0	0	131	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	300	0	0	0	0	0	0	35
Anguilla anguilla	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Aphanopus carbo	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aphia minuta	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Argentina silus	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92	0
Bathylagus euryops	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	163	0	0	0	0	0	0	0	0	0	0	0	0
Bathytroctes microlepis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67
Benthosema glaciale	0	0	0	453	0	0	0	273	158	0	0	1	0	0	27	0	84	59	0	0	0	0	0	12	41	19	0	0	55	33	1	0	0	421	1	0	0	0	677	0	0	0	0	0	123	0	0
Capros aper	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0
Centroscymnus crepidater	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cetorhinus maximus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chelon sp	0	0	0	0	0	0	1	0	0	0	0	3	1	1	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	1	2	0	1	13	0	0	0	0	5	0	0	0	0	14
Ctenolabrus rupestris	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7604	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyclothone microdon	0	0	0	0	0	0	0	0	0	0	0	112	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	375
Dicentrarchus labrax	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	4	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	7	0	0	0	1	3
Diplodus sargus	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	54	0	0	4	2	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	1	0	0	0	2	0	0	1	0	1
Engraulis encrasicolus	1	193	105	273	757	1572	23560	6	311	5069	66	25	6821	1052	313	1512	655	5	3996	130	1281	7	130	215	1454	307	172	254	602	576	163783	34666	13004	6358	7371	37730	3826	818	550	454	2796	16054	2019	11	88	465	63
Epigonus telescopus	0	0	0	0	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Euthynnus alletteratus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2
Gadiculus thori	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Helicolenus dactylopterus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	0	0
Katsuwonus pelamis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lamna nasus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0
Lampanyctus crocodilus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	1	0	0	0	0	0	0
Lepidion eques	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0
Leucoraja naevus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
Lophius piscatorius	2	0	1	0	0	0	0	8	0	0	5	1	11	11	0	0	1	1	2	1	104	0	0	0	5	58	1	9	119	1	12656	1670	3301	1691	1226	6224	969	318	5	2	0	919	2	0	4	72	0
Maurolicus muelleri	0	8045	1521	1	0	0	6	5898	3759	147	124	3	4	0	172	16	332	375	361	153	335	1	0	1	6	61	0	0	0	0	0	0	2759	2680	14	377	0	5	292	235	1	0	7	98	0	163	0
Merluccius merluccius	0	0	40	20	358	173	2	1	270	0	3	198	0	0	0	1	0	0	0	0	2	6	0	0	0	1	0	0	0	50	1	0	122	34	1	413	0	113	176	0	0	0	0	172	2	28	1
Micromesistius poutassou	222	0	0	0	0	11	137	24	47	1	0	0	0	0	0	3	0	0	22	2	0	8	0	0	0	1	0	3	0	1	0	993	314	16	6	3	0	0	1	0	0	0	0	0	8	155	54
Mola mola	0	0	0	0	0	0	0	1	0	1	0	0	113	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	793	0	1	0	0	1	0	0	0	0	1	1	0	0	0	0	0
Notacanthus chemnitzii	0	0	0	0	0	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Notoscopelus kroyeri	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0
Pagellus sp	0	0	1	2	0	0	1	0	0	0	0	0	281	0	63	0	0	61	538	7	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	1	1	0	56	22	0
Pagrus major	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0
Phoxinus sp	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pomatoschistus sp	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prionace glauca	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Reinhardtius hippoglossoides	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Salmo trutta	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	30
Sardina pilchardus	0	0	91	2483	252	0	3928	0	543	240	38	8	241	4	12	35	185	24	451	19	574	93	2	102	35	200	7	136	312	1	6660	3	7171	166	173	73	4	9	423	2	2	37	13	407	18	65	15
Scomber sp	1	0	0	5	289	228	3338	0	26	98	49	1	329	161	29	103	319	133	301	6	2	0	0	8	1	46	0	64	40	108	1976	1363	1252	1271	5	17	3	1	0	0	0	3	4	0	1	19	3
Scophthalmus maximus	0	0	0	137	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sigmops bathyphilus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Solea solea	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0
Sprattus sprattus	0	303	1	0	0	0	0	0	6	0	0	10	25	25	0	0	0	0	1	0	0	1	0	0	67	53	0	0	0	2	6121	18592	2434	3660	2729	16678	1	44	17	4	363	69	12	1	78	3	9
Stomias boa	0	5	0	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87
Thunnus sp	0	0	0	0	0	89	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Trachurus trachurus	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0
Trisopterus sp	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91	0
Xenodermichthys copei	0	0	0	0	0	1	1639	0	0	251	0	0	0	0	0	8	0	0	0	0	0	0	59	0	0	0	0	273	0	105	0	0	0	998	6	0	0	0	0	0	0	0	0	45	80	45	148
Xiphias gladius	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
